# energy(eV) alpha
0.000000000000000000e+00 2.918981726782970298e+00
1.739999999999999880e-02 2.918998856152262178e+00
3.470000000000000168e-02 2.919050243657012267e+00
5.210000000000000048e-02 2.919135887487948722e+00
6.950000000000000622e-02 2.919244341525440323e+00
8.680000000000000215e-02 2.919387045799815894e+00
1.042000000000000010e-01 2.919575437181306743e+00
1.214999999999999969e-01 2.919786624854434187e+00
1.388999999999999957e-01 2.920026360786422970e+00
1.562999999999999945e-01 2.920294564190076603e+00
1.736000000000000043e-01 2.920608420904443836e+00
1.910000000000000031e-01 2.920945043193857948e+00
2.084000000000000019e-01 2.921327293454407226e+00
2.257000000000000117e-01 2.921726607072968385e+00
2.431000000000000105e-01 2.922165766775992601e+00
2.605000000000000093e-01 2.922639076603016584e+00
2.777999999999999914e-01 2.923146519968386148e+00
2.952000000000000179e-01 2.923676653018876692e+00
3.125000000000000000e-01 2.924252311183964004e+00
3.299000000000000266e-01 2.924856372720690878e+00
3.472999999999999976e-01 2.925488745395441903e+00
3.645999999999999797e-01 2.926172243717326982e+00
3.820000000000000062e-01 2.926872665584832056e+00
3.993999999999999773e-01 2.927607077863876306e+00
4.167000000000000148e-01 2.928375454985364890e+00
4.340999999999999859e-01 2.929177770224897337e+00
4.515000000000000124e-01 2.930031060590482461e+00
4.687999999999999945e-01 2.930901162229496926e+00
4.862000000000000210e-01 2.931810774264466790e+00
5.034999999999999476e-01 2.932754202117956233e+00
5.209000000000000297e-01 2.933731413172735447e+00
5.383000000000000007e-01 2.934742373687551975e+00
5.555999999999999828e-01 2.935787048802881216e+00
5.729999999999999538e-01 2.936871051956019052e+00
5.904000000000000359e-01 2.937988692215975917e+00
6.077000000000000179e-01 2.939151298286251990e+00
6.250999999999999890e-01 2.940336092082084463e+00
6.424999999999999600e-01 2.941554404493541774e+00
6.598000000000000531e-01 2.942823184614754783e+00
6.772000000000000242e-01 2.944125384106036414e+00
6.945000000000000062e-01 2.945449615499076135e+00
7.118999999999999773e-01 2.946824154529910533e+00
7.292999999999999483e-01 2.948231971396792161e+00
7.466000000000000414e-01 2.949684345687365372e+00
7.640000000000000124e-01 2.951164189757689460e+00
7.813999999999999835e-01 2.952688475498534970e+00
7.986999999999999655e-01 2.954251439372053589e+00
8.161000000000000476e-01 2.955847407920459524e+00
8.335000000000000187e-01 2.957487625634247053e+00
8.508000000000000007e-01 2.959166332959676016e+00
8.681999999999999718e-01 2.960883464089025807e+00
8.854999999999999538e-01 2.962644632026009806e+00
9.029000000000000359e-01 2.964438486801283634e+00
9.203000000000000069e-01 2.966276151785491866e+00
9.375999999999999890e-01 2.968157627593181136e+00
9.549999999999999600e-01 2.970071580489217489e+00
9.724000000000000421e-01 2.972034771490080551e+00
9.897000000000000242e-01 2.974035866923805393e+00
1.007100000000000106e+00 2.976086018557157153e+00
1.024499999999999966e+00 2.978173904209532097e+00
1.041800000000000059e+00 2.980305093221598867e+00
1.059199999999999919e+00 2.982473847965136926e+00
1.076500000000000012e+00 2.984702479894162153e+00
1.093900000000000095e+00 2.986957289986739372e+00
1.111299999999999955e+00 2.989271758446275573e+00
1.128600000000000048e+00 2.991623404502546268e+00
1.145999999999999908e+00 2.994040002892100816e+00
1.163399999999999990e+00 2.996488023827603264e+00
1.180700000000000083e+00 2.998972918353255857e+00
1.198099999999999943e+00 3.001522388309976641e+00
1.215500000000000025e+00 3.004114107217157770e+00
1.232799999999999896e+00 3.006758992599893432e+00
1.250199999999999978e+00 3.009445797110674281e+00
1.267500000000000071e+00 3.012185595463098053e+00
1.284899999999999931e+00 3.014978152627922459e+00
1.302300000000000013e+00 3.017823321573870121e+00
1.319600000000000106e+00 3.020726532528836827e+00
1.336999999999999966e+00 3.023670989101543860e+00
1.354400000000000048e+00 3.026678659124931059e+00
1.371699999999999919e+00 3.029743884881074933e+00
1.389100000000000001e+00 3.032849910915457414e+00
1.406500000000000083e+00 3.036029645080072115e+00
1.423799999999999955e+00 3.039244405289886153e+00
1.441200000000000037e+00 3.042537936390456554e+00
1.458499999999999908e+00 3.045882590621814323e+00
1.475899999999999990e+00 3.049289163633127409e+00
1.493300000000000072e+00 3.052746495830857221e+00
1.510599999999999943e+00 3.056276294370022129e+00
1.528000000000000025e+00 3.059872795340152329e+00
1.545400000000000107e+00 3.063519441739234850e+00
1.562699999999999978e+00 3.067243257425786851e+00
1.580100000000000060e+00 3.071033073226147270e+00
1.597499999999999920e+00 3.074883258484852000e+00
1.614800000000000013e+00 3.078809827238965457e+00
1.632200000000000095e+00 3.082801639840094587e+00
1.649499999999999966e+00 3.086858442377546030e+00
1.666900000000000048e+00 3.091006974339590929e+00
1.684299999999999908e+00 3.095214558562691565e+00
1.701600000000000001e+00 3.099502427963651829e+00
1.719000000000000083e+00 3.103870248986054126e+00
1.736399999999999944e+00 3.108312358331194680e+00
1.753700000000000037e+00 3.112849818340134078e+00
1.771099999999999897e+00 3.117460863719593522e+00
1.788499999999999979e+00 3.122161183592022660e+00
1.805800000000000072e+00 3.126944969721296985e+00
1.823199999999999932e+00 3.131827917724061550e+00
1.840500000000000025e+00 3.136798900538897428e+00
1.857900000000000107e+00 3.141868032742378691e+00
1.875299999999999967e+00 3.147050843599565439e+00
1.892600000000000060e+00 3.152341407861266820e+00
1.909999999999999920e+00 3.157733944654124603e+00
1.927400000000000002e+00 3.163254317997447718e+00
1.944700000000000095e+00 3.168870183936923102e+00
1.962099999999999955e+00 3.174586366621874767e+00
1.979500000000000037e+00 3.180423249070960967e+00
1.996799999999999908e+00 3.186359163165434438e+00
2.014200000000000212e+00 3.192404164837426173e+00
2.031499999999999861e+00 3.198557515939685292e+00
2.048900000000000166e+00 3.204834196023279347e+00
2.066300000000000026e+00 3.211212761651236924e+00
2.083600000000000119e+00 3.217708158828536114e+00
2.100999999999999979e+00 3.224329930028915658e+00
2.118399999999999839e+00 3.231056705223903425e+00
2.135699999999999932e+00 3.237918735386746238e+00
2.153099999999999792e+00 3.244910068670804115e+00
2.170500000000000096e+00 3.252014365141837615e+00
2.187800000000000189e+00 3.259261709638756166e+00
2.205200000000000049e+00 3.266635712783786616e+00
2.222500000000000142e+00 3.274155976860597228e+00
2.239900000000000002e+00 3.281806121609143645e+00
2.257299999999999862e+00 3.289615791533972544e+00
2.274599999999999955e+00 3.297563538195844135e+00
2.291999999999999815e+00 3.305668486009877505e+00
2.309400000000000119e+00 3.313944728734728784e+00
2.326700000000000212e+00 3.322375781921771409e+00
2.344100000000000072e+00 3.330980437162758268e+00
2.361499999999999932e+00 3.339777416646649844e+00
2.378800000000000026e+00 3.348755198613462714e+00
2.396199999999999886e+00 3.357932124627247106e+00
2.413499999999999979e+00 3.367311461044414145e+00
2.430899999999999839e+00 3.376916287556174012e+00
2.448300000000000143e+00 3.386749464603040938e+00
2.465599999999999792e+00 3.396833620765862705e+00
2.483000000000000096e+00 3.407171176585509276e+00
2.500399999999999956e+00 3.417803883357770633e+00
2.517700000000000049e+00 3.428738577015020716e+00
2.535099999999999909e+00 3.440020741337586063e+00
2.552500000000000213e+00 3.451714856955864441e+00
2.569799999999999862e+00 3.463927587852291268e+00
2.587200000000000166e+00 3.476536028477331008e+00
2.604499999999999815e+00 3.489416271417579374e+00
2.621900000000000119e+00 3.502746275388736397e+00
2.639299999999999979e+00 3.516573247066692165e+00
2.656600000000000072e+00 3.530965512427636899e+00
2.673999999999999932e+00 3.546207340919943718e+00
2.691399999999999793e+00 3.561834960454596910e+00
2.708699999999999886e+00 3.577053239988726041e+00
2.726100000000000190e+00 3.591922462123367410e+00
2.743500000000000050e+00 3.606638527623814205e+00
2.760800000000000143e+00 3.621317203309456723e+00
2.778200000000000003e+00 3.636026848688965529e+00
2.795500000000000096e+00 3.650807058954973261e+00
2.812899999999999956e+00 3.665769175934730839e+00
2.830299999999999816e+00 3.680988924631487080e+00
2.847599999999999909e+00 3.696512478093323395e+00
2.865000000000000213e+00 3.712398556256162330e+00
2.882400000000000073e+00 3.728740399569874686e+00
2.899700000000000166e+00 3.745567372865822975e+00
2.917100000000000026e+00 3.762862093982929146e+00
2.934499999999999886e+00 3.780636450174659657e+00
2.951799999999999979e+00 3.798907216544414656e+00
2.969199999999999839e+00 3.817764043873148161e+00
2.986600000000000144e+00 3.837259838516099197e+00
3.003899999999999793e+00 3.857577659201007592e+00
3.021300000000000097e+00 3.878750126851923774e+00
3.038600000000000190e+00 3.900470751018832338e+00
3.056000000000000050e+00 3.922365684308541489e+00
3.073399999999999910e+00 3.945019383743609609e+00
3.090700000000000003e+00 3.969864776901105508e+00
3.108099999999999863e+00 3.997953837688291490e+00
3.125500000000000167e+00 4.030892229397708526e+00
3.142799999999999816e+00 4.069590919981521893e+00
3.160200000000000120e+00 4.109044754262356491e+00
3.177599999999999980e+00 4.145429900120407574e+00
3.194900000000000073e+00 4.180226501409771700e+00
3.212299999999999933e+00 4.214823237201413164e+00
3.229600000000000026e+00 4.252679904928379884e+00
3.246999999999999886e+00 4.289677980489949860e+00
3.264400000000000190e+00 4.313668001361121718e+00
3.281699999999999839e+00 4.324806559504121850e+00
3.299100000000000144e+00 4.330548406644264325e+00
3.316500000000000004e+00 4.330965643553051692e+00
3.333800000000000097e+00 4.328939535450801124e+00
3.351199999999999957e+00 4.325448222020694899e+00
3.368599999999999817e+00 4.320611986215165956e+00
3.385899999999999910e+00 4.314654318449656856e+00
3.403300000000000214e+00 4.307971721295334788e+00
3.420599999999999863e+00 4.300457990256790097e+00
3.438000000000000167e+00 4.292067333659728590e+00
3.455400000000000027e+00 4.282894631186531242e+00
3.472700000000000120e+00 4.272997218477259551e+00
3.490099999999999980e+00 4.262320249087198754e+00
3.507499999999999840e+00 4.250813329371061045e+00
3.524799999999999933e+00 4.238481430255125026e+00
3.542199999999999793e+00 4.224850204047797320e+00
3.559600000000000097e+00 4.210252719309689695e+00
3.576900000000000190e+00 4.187070401017791710e+00
3.594300000000000050e+00 4.140995186313421783e+00
3.611600000000000144e+00 4.121525091848992517e+00
3.629000000000000004e+00 4.122267641787029646e+00
3.646399999999999864e+00 4.120457201539243108e+00
3.663699999999999957e+00 4.120037212641102009e+00
3.681099999999999817e+00 4.120517046343103118e+00
3.698500000000000121e+00 4.117048021542077052e+00
3.715800000000000214e+00 4.110095455307054557e+00
3.733200000000000074e+00 4.098870394709566156e+00
3.750599999999999934e+00 4.080821034778139733e+00
3.767900000000000027e+00 4.056590737843330352e+00
3.785299999999999887e+00 4.035840570518826276e+00
3.802599999999999980e+00 4.025841671626082530e+00
3.819999999999999840e+00 4.017221348634770983e+00
3.837400000000000144e+00 4.010898750290101233e+00
3.854699999999999793e+00 4.009224925145155716e+00
3.872100000000000097e+00 4.006860735258361395e+00
3.889499999999999957e+00 3.995460637126345915e+00
3.906800000000000050e+00 3.980437513002211602e+00
3.924199999999999910e+00 3.969038078858545759e+00
3.941600000000000215e+00 3.968541682288473815e+00
3.958899999999999864e+00 3.972112706825120299e+00
3.976300000000000168e+00 3.973987288985352695e+00
3.993599999999999817e+00 3.974820204707429916e+00
4.011000000000000121e+00 3.976185547724627956e+00
4.028400000000000425e+00 3.979157874055765820e+00
